,species,toes,date,sex,svl,tl,rtl_orig,mass,paint.mark,location,meters,new.recap,painted,misc,vial,year,rtl,autotomized,new.recap_orig,sighting,review_sex,review_species,review_painted,review_new.recap,review_rtl,forceMale,forceFemale,forceRecap,forceNew,forceSighting,drop_species,drop_morphometrics,tl_svl,mass_svl
1816,v,,2002-07-13,,,,,,w21a,3m v chute in sb,352,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1817,j,,2002-03-31,f,,,,,r92a,chute,355,,,"paint mark was from previous year, ""r92a"", but faded and was recorded this year as ""w92a""",nan,2002.0,,autotomized,sighting,sighting,True,True,False,True,False,False,False,False,False,False,False,True,,
1818,j,,2002-04-03,,,,,,y26a,chute on right,355,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1819,j,,2002-05-02,,,,,,y46a,chute on left,355,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1820,j,,2002-05-09,,,,,,y46a,chute on left,355,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1821,j,,2002-05-14,,,,,,y46a,chute on right,355,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1822,j,,2002-05-14,,,,,,w38a,5m left of chute on R outcrop,355,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1823,j,,2002-05-26,,,,,,y26a,chute on left,355,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1824,j,,2002-05-28,,,,,,y26a,chute on right,355,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1825,j,,2002-06-17,,,,,,y26a,in chute,355,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1826,j,,2002-06-24,,,,,,y26a,chute,355,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1827,j,,2002-07-17,,,,,,b12c,left mid chute,355,,"r 1, >10",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1828,v,,2002-07-09,,,,,,w22a,4m left bottom chute,355,,"r .3, .3",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1829,v,,2002-07-12,,,,,,w21a,R sb @ bottom chute,355,,"r .2, .5",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1834,j,,2002-07-04,,,,,,b12c,chute,357,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1835,j,,2002-07-15,,,,,,b12c,left mid chute,357,,"r 1, >10",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1836,j,,2002-07-08,,,,,,b12c,chute,358,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1837,j,,2002-07-09,,,,,,b12c,3m ^ bottom chute,358,,"r 2, >10",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1838,j,,2002-03-31,,,,,,y26a,top of chute on right,360,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1839,j,,2002-04-05,,,,,,y26a,top of chute on right,360,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1840,j,,2002-04-27,,,,,,y26a,top of chute on right,360,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1841,j,,2002-06-09,,,,,,y26a,top of chute on right,360,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1842,j,,2002-07-11,,,,,,b12c,middle chute on right,360,,"r 1, >10",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1843,j,,2002-07-12,,,,,,b12c,upper chute on right wall,360,,"r 1, >10",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1844,j,,2002-07-12,,,,,,b12c,top of chute,360,,"r 1, >10",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1845,j,,2002-07-13,,,,,,b12c,middle of chute on right,360,,"r 1, >10",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
