,species,toes,date,sex,svl,tl,rtl_orig,mass,paint.mark,location,meters,newRecap,painted,misc,vial,year,rtl,autotomized,new.recap_orig,sighting,review_sex,review_species,review_painted,review_new.recap,review_rtl,forceMale,forceFemale,forceRecap,forceNew,forceSighting,drop_species,drop_morphometrics,tl_svl,mass_svl,lizMark,count,lizardNumber,lizNumber,dateMin,svlMin,yearMin,yearDiff,svlDiff,misclassified
145,j,6-14-20,2012-05-27,f,76.0,65.0,45.0,21.2,w27c,1falls,,recap,yes,old wound dorsal pelvis,,2012.0,45.0,True,recap,,True,False,False,False,False,False,False,False,False,False,False,False,0.8552631578947368,0.2789473684210526,j6-14-20f,4.0,88.0,,,,,,,
124,j,8-15-20,2000-07-07,m,73.0,46.0,-1.0,13.6,w73c,2falls,,,,,,2000.0,0.0,True,,,True,False,False,True,False,False,False,False,False,False,False,False,0.6301369863013698,0.18630136986301368,j8-15-20m,4.0,89.0,,,,,,,
328,j,3-6-12-20,2000-07-07,m,33.0,40.0,0.0,1.6,w^c,5m ^ S curve,,,,,,2000.0,0.0,False,,,True,False,False,True,False,False,False,False,False,False,False,False,1.2121212121212122,0.048484848484848485,j3-6-12-20m,4.0,91.0,,,,,,,
5905,j,1-10-12-20,2001-07-23,f,67.0,90.0,0.0,10.4,r70a,sb @ slab,262,recap,,,shed since; loose scales,2001.0,0.0,False,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.3432835820895523,0.15522388059701492,j1-10-12-20f,4.0,92.0,,,,,,,
6067,j,10,2002-07-14,m,85.0,118.0,0.0,19.5,b104t,sb - trail intersection v 1 falls,-20,recap,toe loss may be natural,,,2002.0,0.0,False,recap,,True,False,True,False,False,False,False,False,False,False,False,False,1.388235294117647,0.22941176470588234,j10m,4.0,93.0,,,,,,,
6335,j,4-10-14-18,2002-07-08,f,56.0,75.0,0.0,4.8,b37ct,3m ^ chute on right,365,recap,"painted; t shed, b ss; old marking of y74a still visible",,,2002.0,0.0,False,recap,,True,False,True,False,False,False,False,False,False,False,False,False,1.3392857142857142,0.08571428571428573,j4-10-14-18f,4.0,94.0,,,,,,,
7104,j,2-8-13,2006-05-24,f,80.0,106.0,0.0,19.3,w43b,wall-btwn-H3/H4,185,recap,painted,gravid;-only-three-toes-cut-nothing-missing-on-LHL!,,2006.0,0.0,False,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.325,0.24125,j2-8-13f,4.0,95.0,,,,,,,
7193,j,3-10-11-18,2007-07-07,m,85.0,116.0,0.0,23.6,y24c,left rocks @ 2 falls,390,new,yes,,07-34,2007.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3647058823529412,0.2776470588235294,j3-10-11-18m,4.0,96.0,,,,,,,
7936,j,5-6-14,2014-07-04,f,68.0,90.0,0.0,12.3,o27c.t,5m ^ 2 falls,395,new,yes,Bss; trec shed,14-27,2014.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3235294117647058,0.1808823529411765,j5-6-14f,4.0,97.0,,,,,,,
7711,j,5-13-17,2012-05-25,f,66.0,86.0,0.0,8.0,w20c,10m v chute,,new,yes,,12-16,2012.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.303030303030303,0.12121212121212123,j5-13-17f,4.0,98.0,,,,,,,
