,autotomized,date,drop_morphometrics,drop_species,forceFemale,forceMale,forceNew,forceRecap,forceSighting,location,mass,meters,misc,new.recap,new.recap_orig,paint.mark,painted,review_new.recap,review_painted,review_rtl,review_sex,review_species,rtl,rtl_orig,sex,sighting,species,svl,tl,toes,vial,year
60,TRUE,2000-03-19T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wall rt side 5m ^ 2tripleR,11,NA,shed since last recapture,recap,recap,r61c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,9,9,f,NA,j,72,89,3-15-16,NA,2000
61,TRUE,2000-03-19T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pyramid R,16.8,NA,shed since last recapture,recap,recap,r62c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,25,25,m,NA,j,87,99,4-13-14-16,NA,2000
62,FALSE,2000-03-19T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pyramid R,5.3,NA,NA,new,new,r63c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,55,78,6-14-19,NA,2000
63,FALSE,2000-03-19T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pyramid R or pool?,8.3,NA,NA,new,new,r64c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,60,81,6-14-20,NA,2000
64,FALSE,2000-03-19T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,oakR,6,NA,NA,new,new,r65c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,58,81,6-15-29,NA,2000
65,FALSE,2000-03-19T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3m v chute,10,NA,shed since last recapture,recap,recap,r66c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,70,96,5-7-13-20,NA,2000
66,FALSE,2000-03-19T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rs opp 2tripleR,4.6,NA,NA,new,new,r67c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,53,75,6-15-20,NA,2000
67,TRUE,2000-03-19T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bottom S surve,3.2,NA,shed since last recapture,recap,recap,r68c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,23,23,f,NA,j,46,53,10-15-18,NA,2000
68,FALSE,2000-03-19T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,slab,15,NA,shed since last recapture,recap,recap,r69c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,86,115,5-7-12-19,NA,2000
69,FALSE,2000-03-19T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sb at slab,6.5,NA,NA,new,new,r70c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,58,84,10-14-19,NA,2000
70,FALSE,2000-03-19T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,root xing,14.8,NA,shed since last recapture,recap,recap,r71c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,87,118,5-15-19,NA,2000
71,TRUE,2000-03-19T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pine xing,9.3,NA,shed since last recapture,recap,recap,r72c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,37,37,m,NA,j,72,75,5-10-13-16,NA,2000
72,FALSE,2000-03-19T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wall v wall v pine xing,5.5,NA,NA,new,new,r73c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,56,78,10-14-20,NA,2000
73,FALSE,2000-03-19T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wall at H5,6.5,NA,[remarked to 1-9-13-16 on 19III00 (see 17III00 and 9VII99) since 1-13-16 was used 2x],recap,recap,r27c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,50,76,1-9-13-16,NA,2000
74,FALSE,2000-03-20T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,root xing,7.5,NA,NA,NA,NA,r74c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,62,81,10-15-19,NA,2000
75,TRUE,2000-03-20T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,root xing,6.7,NA,NA,NA,NA,r75c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,0,-1,f,NA,j,58,58,10-16,NA,2000
